paperid,R_sources,R_methods,R_experiments,R_sinks,R_c,R_s,R,r_c1_sources_consumed,r_c2_sinks_produced,r_c3_inputs_resolved,r_c4_source_sink_reachability,r_c5_lwcc,n_sources,n_methods,n_experiments,n_sinks,R_0_4
1606.04671,0.083333,0.866667,0.937500,0.704545,0.597197,0.909091,0.736822,1.000000,1.000000,1.000000,0.393939,1.000000,3,3,4,11,3.210465
1903.09668,0.800000,0.925000,0.687500,0.760000,0.790500,0.910625,0.848439,0.800000,1.000000,1.000000,0.800000,0.937500,5,2,4,5,3.545318
1904.10554,0.000000,0.787500,0.866667,0.700000,0.540833,1.000000,0.735414,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,3,3,3.206241
1908.05659,,0.000000,,,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,0,1.000000
1909.00931,0.583333,0.830000,0.937500,0.790000,0.765500,0.840644,0.802192,0.733333,1.000000,1.000000,0.520000,0.862069,15,5,4,5,3.406577
1911.03867,0.458333,0.870000,0.866667,0.766667,0.714833,0.863333,0.785582,0.833333,1.000000,1.000000,0.416667,0.950000,6,5,3,6,3.356747
2002.05905,1.000000,0.962500,0.920000,0.890000,0.943500,0.952500,0.947989,1.000000,0.900000,1.000000,0.900000,0.950000,1,4,5,10,3.843968
2004.05258,0.650000,0.950000,0.900000,0.696154,0.773846,1.000000,0.879685,1.000000,1.000000,1.000000,1.000000,1.000000,5,4,4,13,3.639056
2009.01947,0.562500,0.600000,0.500000,0.790000,0.625750,0.868750,0.737306,1.000000,1.000000,1.000000,0.500000,0.625000,4,2,5,5,3.211918
2010.04261,0.571429,0.983333,0.950000,0.800000,0.798095,0.744156,0.770654,0.428571,1.000000,1.000000,0.428571,0.818182,7,3,3,9,3.311961
2010.04855,0.250000,0.875000,0.812500,0.716667,0.627500,1.000000,0.792149,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,4,3,3.376447
2011.11576,0.850000,0.783333,0.942857,0.846154,0.854084,0.788929,0.820860,1.000000,1.000000,1.000000,0.200000,0.392857,5,3,7,13,3.462581
2012.09302,1.000000,0.850000,0.854762,0.800000,0.880952,1.000000,0.938591,1.000000,1.000000,1.000000,1.000000,1.000000,5,2,21,32,3.815772
2101.07354,0.250000,,0.885714,0.796154,0.613736,0.763712,0.684630,1.000000,1.000000,1.000000,0.076923,0.347826,3,0,7,13,3.053889
2102.11887,,0.950000,,,0.950000,0.350000,0.576628,0.000000,0.000000,1.000000,0.000000,1.000000,0,6,0,0,2.729884
2104.11893,0.437500,0.810000,0.950000,0.807692,0.725558,1.000000,0.851797,1.000000,1.000000,1.000000,1.000000,1.000000,4,5,5,13,3.555390
2104.12546,0.670000,0.750000,0.916667,0.783333,0.769333,0.733529,0.751218,0.400000,1.000000,1.000000,0.400000,0.823529,5,3,3,6,3.253654
2105.01099,0.857143,0.000000,,,0.514286,0.018750,0.098198,0.000000,0.000000,0.000000,0.000000,0.125000,7,1,0,0,1.294594
2105.01937,0.678571,0.760000,0.887500,0.737500,0.754321,0.669405,0.710596,0.571429,0.650000,1.000000,0.371429,0.722222,7,5,4,20,3.131787
2105.15197,0.000000,0.812500,0.950000,0.900000,0.622500,0.988462,0.784422,1.000000,1.000000,1.000000,1.000000,0.923077,1,4,2,6,3.353265
2106.03157,1.000000,0.750000,0.740000,0.785714,0.833714,0.978571,0.903244,1.000000,1.000000,1.000000,0.857143,1.000000,1,4,5,7,3.709731
2106.03725,0.250000,0.700000,0.787500,0.750000,0.597500,1.000000,0.772981,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,4,5,3.318944
2106.06927,0.214286,0.850000,0.937500,0.788889,0.658452,0.840476,0.743918,1.000000,1.000000,1.000000,0.222222,0.714286,7,4,8,9,3.231753
2106.07704,0.400000,0.925000,0.700000,0.765000,0.674500,0.805414,0.737056,1.000000,1.000000,1.000000,0.220000,0.482759,5,10,4,10,3.211168
2106.10898,0.750000,0.712500,0.766667,0.710714,0.734048,0.833929,0.782396,1.000000,1.000000,1.000000,0.309524,0.583333,3,4,3,14,3.347188
2106.12936,,0.725000,,,0.725000,0.312500,0.475986,0.000000,0.000000,1.000000,0.000000,0.750000,0,4,0,0,2.427957
