paperid,R_sources,R_methods,R_experiments,R_sinks,R_c,R_s,R,r_c1_sources_consumed,r_c2_sinks_produced,r_c3_inputs_resolved,r_c4_source_sink_reachability,r_c5_lwcc,n_sources,n_methods,n_experiments,n_sinks,R_0_4
2015_01_article,0.250000,0.966667,0.933333,0.777778,0.688333,0.725833,0.706835,0.500000,1.000000,1.000000,0.055556,0.950000,2,3,6,9,3.120504
2016_01_article,0.250000,0.900000,0.910000,0.735714,0.657714,0.785863,0.718939,0.666667,1.000000,1.000000,0.190476,0.937500,3,1,5,7,3.156817
2016_02_article,0.000000,0.900000,0.875000,0.792857,0.592857,0.935714,0.744812,1.000000,1.000000,1.000000,0.571429,1.000000,1,4,6,7,3.234436
2016_03_article,0.125000,0.925000,0.888889,0.878571,0.663849,0.794444,0.726217,0.500000,1.000000,1.000000,0.500000,0.962963,2,2,9,14,3.178651
2016_04_article,0.250000,0.883333,0.937500,0.850000,0.694167,1.000000,0.833167,1.000000,1.000000,1.000000,1.000000,1.000000,1,3,4,8,3.499500
2016_05_article,0.500000,0.866667,0.462500,0.387500,0.532083,0.887500,0.687186,1.000000,0.750000,1.000000,0.750000,0.916667,1,3,4,4,3.061557
2016_06_article,0.750000,0.900000,1.000000,0.837500,0.856250,1.000000,0.925338,1.000000,1.000000,1.000000,1.000000,1.000000,1,7,3,4,3.776013
2016_07_article,,0.900000,0.775000,0.780000,0.812857,0.537500,0.660992,0.000000,0.800000,1.000000,0.000000,0.916667,0,3,4,5,2.982977
2017_01_article,,0.600000,0.825000,0.900000,0.792857,0.600000,0.689720,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,2,2,3.069161
2017_02_article,0.250000,0.650000,0.700000,0.800000,0.585000,0.779762,0.675397,0.666667,1.000000,1.000000,0.142857,0.944444,3,2,6,7,3.026190
2017_03_article,,0.950000,0.950000,0.900000,0.928571,0.600000,0.746420,0.000000,1.000000,1.000000,0.000000,1.000000,0,4,1,1,3.239260
2017_04_article,,0.625000,0.850000,0.750000,0.742857,0.600000,0.667618,0.000000,1.000000,1.000000,0.000000,1.000000,0,2,1,1,3.002855
2017_05_article,0.000000,1.000000,0.988462,0.815625,0.642380,0.726518,0.683155,1.000000,1.000000,1.000000,0.062500,0.114286,1,5,13,16,3.049464
2017_06_article,,0.816667,,0.533333,0.646667,0.400000,0.508593,0.000000,0.833333,0.500000,0.000000,0.611111,0,6,0,12,2.525778
2017_07_article,0.000000,0.933333,0.800000,0.600000,0.526667,1.000000,0.725718,1.000000,1.000000,1.000000,1.000000,1.000000,1,3,2,4,3.177154
2017_08_article,0.000000,0.900000,0.900000,0.700000,0.570000,1.000000,0.754983,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,3,14,3.264950
2017_09_article,0.000000,0.100000,0.400000,0.100000,0.130000,1.000000,0.360555,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,1,2.081665
2018_01_article,0.500000,0.940000,1.000000,0.800000,0.778000,1.000000,0.882043,1.000000,1.000000,1.000000,1.000000,1.000000,1,5,2,4,3.646129
2018_02_article,,0.800000,0.900000,0.900000,0.871429,0.600000,0.723089,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,5,5,3.169266
2018_03_article,0.000000,0.900000,0.962500,0.862500,0.631250,1.000000,0.794512,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,4,4,3.383537
2018_04_article,,0.950000,0.983333,0.733333,0.866667,0.600000,0.721110,0.000000,1.000000,1.000000,0.000000,1.000000,0,2,3,3,3.163331
2018_05_article,1.000000,0.925000,1.000000,0.810000,0.928000,0.851250,0.888797,1.000000,1.000000,1.000000,0.466667,0.541667,3,4,7,10,3.666391
2018_06_article,0.250000,0.900000,0.880000,0.865000,0.690500,0.815278,0.750299,0.833333,1.000000,1.000000,0.083333,0.962963,6,1,10,10,3.250898
2018_07_article,0.357143,0.820000,0.800000,0.750000,0.656143,0.907248,0.771547,0.857143,1.000000,1.000000,0.678571,0.941176,7,5,1,4,3.314640
2019_01_article,0.250000,0.750000,0.914286,0.792857,0.645714,0.898214,0.761571,1.000000,1.000000,1.000000,0.321429,1.000000,4,2,7,7,3.284712
2019_02_article,0.500000,0.750000,0.750000,0.800000,0.690000,1.000000,0.830662,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,2,1,3.491987
2019_03_article,,0.625000,0.775000,0.675000,0.689286,0.525000,0.601560,0.000000,1.000000,1.000000,0.000000,0.500000,0,2,4,6,2.804681
2019_05_article,0.375000,0.891667,0.920000,0.791667,0.712333,0.780435,0.745607,0.500000,1.000000,1.000000,0.500000,0.869565,6,6,5,6,3.236821
2019_06_article,0.125000,0.550000,0.740000,0.750000,0.520500,0.900000,0.684434,1.000000,1.000000,1.000000,0.333333,1.000000,4,2,5,6,3.053302
2019_07_article,0.000000,0.725000,0.816667,0.725000,0.525833,1.000000,0.725144,1.000000,1.000000,1.000000,1.000000,1.000000,2,4,3,2,3.175431
2019_08_article,0.562500,0.837500,0.858333,0.830000,0.756917,0.857500,0.805640,1.000000,1.000000,1.000000,0.300000,0.750000,4,4,6,10,3.416920
2019_09_article,0.125000,0.775000,0.850000,0.900000,0.632500,0.856818,0.736164,1.000000,1.000000,1.000000,0.500000,0.545455,2,4,3,2,3.208492
2019_11_article,0.500000,0.400000,0.900000,0.678571,0.613571,0.878125,0.734025,1.000000,1.000000,1.000000,0.500000,0.687500,2,1,6,7,3.202074
2019_12_article,0.166667,0.900000,0.860000,0.875000,0.664500,0.510000,0.582147,0.000000,1.000000,1.000000,0.000000,0.400000,3,1,5,6,2.746441
2020_01_article,0.250000,0.816667,0.790000,0.775000,0.628833,0.856250,0.733784,1.000000,1.000000,1.000000,0.166667,0.875000,2,3,5,6,3.201351
2020_02_article,0.062500,0.775000,0.960000,0.600000,0.545750,0.844783,0.678999,1.000000,1.000000,1.000000,0.400000,0.565217,4,4,5,10,3.036998
2020_03_article,0.062500,0.833333,0.816667,0.628571,0.537321,0.785357,0.649607,0.750000,1.000000,1.000000,0.285714,0.700000,4,3,6,7,2.948821
2020_04_article,,0.900000,0.875000,0.887500,0.887500,0.600000,0.729726,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,4,4,3.189178
2020_05_article,0.000000,1.000000,,0.505556,0.439583,1.000000,0.663011,1.000000,1.000000,1.000000,1.000000,1.000000,1,8,0,9,2.989032
2020_06_article,0.000000,0.775000,0.825000,0.916667,0.595000,1.000000,0.771362,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,2,3,3.314087
2020_07_article,0.125000,0.925000,0.930000,0.775000,0.641000,0.895000,0.757427,1.000000,1.000000,1.000000,0.500000,0.800000,2,2,5,6,3.272280
