"paper_id","paper_url","manual_problem","reproscreener_problem","manual_objective","reproscreener_objective","manual_research_method","reproscreener_research_method","manual_research_questions","reproscreener_research_questions","manual_dataset","reproscreener_dataset","manual_hypothesis","reproscreener_hypothesis","manual_prediction","reproscreener_prediction","manual_code_available","reproscreener_code_available","manual_experiment_setup","reproscreener_experiment_setup"
"1606.04671","https://arxiv.org/pdf/1606.04671.pdf","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1"
"1903.09668","https://arxiv.org/pdf/1903.09668.pdf","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"1904.10554","https://arxiv.org/pdf/1904.10554.pdf","0","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0"
"1908.05659","https://arxiv.org/pdf/1908.05659.pdf","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0"
"1909.00931","https://arxiv.org/pdf/1909.00931.pdf","1","1","0","0","0","1","0","1","1","0","1","1","0","1","1","1","1","1"
"1911.03867","https://arxiv.org/pdf/1911.03867.pdf","0","1","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0"
"2002.05905","https://arxiv.org/pdf/2002.05905.pdf","0","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","1","1"
"2004.05258","https://arxiv.org/pdf/2004.05258.pdf","0","1","0","0","1","1","0","1","1","1","0","0","0","0","0","0","1","0"
"2009.01947","https://arxiv.org/pdf/2009.01947.pdf","0","1","0","1","0","1","0","1","1","0","0","0","0","0","1","1","1","1"
"2010.04261","https://arxiv.org/pdf/2010.04261.pdf","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1"
"2010.04855","https://arxiv.org/pdf/2010.04855.pdf","0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0"
"2011.11576","https://arxiv.org/pdf/2011.11576.pdf","1","1","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1"
"2012.09302","https://arxiv.org/pdf/2012.09302.pdf","0","0","0","1","0","1","1","1","1","1","0","0","0","1","1","1","1","0"
"2101.07354","https://arxiv.org/pdf/2101.07354.pdf","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","0","1","0"
"2102.11887","https://arxiv.org/pdf/2102.11887.pdf","0","1","0","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0"
"2104.11893","https://arxiv.org/pdf/2104.11893.pdf","0","1","0","1","0","1","0","0","1","0","0","1","0","1","1","0","1","1"
"2104.12546","https://arxiv.org/pdf/2104.12546.pdf","1","1","0","1","0","1","0","1","1","0","0","1","0","1","0","1","1","0"
"2105.01099","https://arxiv.org/pdf/2105.01099.pdf","1","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0"
"2105.01937","https://arxiv.org/pdf/2105.01937.pdf","0","0","0","1","0","1","0","1","1","0","0","0","0","1","1","1","1","0"
"2105.15197","https://arxiv.org/pdf/2105.15197.pdf","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2106.01528","https://arxiv.org/pdf/2106.01528.pdf","0","1","0","1","1","1","0","1","1","1","0","1","0","0","1","1","1","0"
"2106.03157","https://arxiv.org/pdf/2106.03157.pdf","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","0"
"2106.03725","https://arxiv.org/pdf/2106.03725.pdf","0","1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0"
"2106.06927","https://arxiv.org/pdf/2106.06927.pdf","0","1","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1"
"2106.07704","https://arxiv.org/pdf/2106.07704.pdf","1","1","0","1","0","1","0","1","1","1","0","1","0","0","1","1","1","0"
"2106.10898","https://arxiv.org/pdf/2106.10898.pdf","1","1","0","1","1","1","0","1","1","0","0","1","0","1","0","0","1","0"
"2106.12177","https://arxiv.org/pdf/2106.12177.pdf","0","1","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0"
"2106.12936","https://arxiv.org/pdf/2106.12936.pdf","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0"
"2106.13823","https://arxiv.org/pdf/2106.13823.pdf","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2107.01131","https://arxiv.org/pdf/2107.01131.pdf","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1","1","1"
"2108.09779","https://arxiv.org/pdf/2108.09779.pdf","1","1","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1"
"2109.01372","https://arxiv.org/pdf/2109.01372.pdf","0","1","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1","0"
"2109.12784","https://arxiv.org/pdf/2109.12784.pdf","1","1","0","1","0","1","0","1","1","0","0","0","0","0","1","1","0","0"
"2110.02343","https://arxiv.org/pdf/2110.02343.pdf","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"2110.02474","https://arxiv.org/pdf/2110.02474.pdf","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0"
"2110.03135","https://arxiv.org/pdf/2110.03135.pdf","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0"
"2110.05169","https://arxiv.org/pdf/2110.05169.pdf","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0"
"2110.08255","https://arxiv.org/pdf/2110.08255.pdf","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0"
"2110.08432","https://arxiv.org/pdf/2110.08432.pdf","1","1","0","1","0","1","0","1","1","1","0","0","0","1","0","1","1","1"
"2110.09902","https://arxiv.org/pdf/2110.09902.pdf","0","1","0","0","0","1","0","1","1","1","0","0","0","1","1","1","0","0"
"2110.11688","https://arxiv.org/pdf/2110.11688.pdf","1","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","1","0"
"2110.14241","https://arxiv.org/pdf/2110.14241.pdf","0","1","1","1","0","1","0","1","1","0","1","1","0","1","0","0","1","1"
"2111.02997","https://arxiv.org/pdf/2111.02997.pdf","0","1","0","1","0","1","1","1","0","0","0","1","0","1","1","1","1","0"
"2111.03664","https://arxiv.org/pdf/2111.03664.pdf","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","1","1"
"2111.08356","https://arxiv.org/pdf/2111.08356.pdf","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","0","1","0"
"2111.12673","https://arxiv.org/pdf/2111.12673.pdf","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0"
"2111.15449","https://arxiv.org/pdf/2111.15449.pdf","0","1","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","0"
"2112.00016","https://arxiv.org/pdf/2112.00016.pdf","0","1","0","1","0","1","0","1","1","1","0","0","0","1","1","1","1","0"
"2112.03432","https://arxiv.org/pdf/2112.03432.pdf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2112.04871","https://arxiv.org/pdf/2112.04871.pdf","1","1","0","1","1","1","0","1","1","0","0","0","0","1","0","1","1","1"
