paper;score_Sources;score_Methods;score_Experiments;score_Sinks;confidence_Sources;confidence_Methods;confidence_Experiments;confidence_Sinks
2015_01_article.pdf;2;1;1;2;85;90;85;85
2016_01_article.pdf;3;1;1;2;90;95;95;90
2016_02_article.pdf;3;2;1;3;95;85;70;90
2016_03_article.pdf;3;1;3;3;95;80;95;95
2016_04_article.pdf;3;3;2;2;95;90;80;85
2016_05_article.pdf;2;1;1;1;85;80;80;80
2016_06_article.pdf;1;2;2;3;90;85;80;95
2016_07_article.pdf;3;1;2;2;95;80;85;90
2017_01_article.pdf;2;2;1;3;90;90;90;95
2017_02_article.pdf;1;1;1;1;85;85;85;85
2017_03_article.pdf;3;3;3;3;95;95;90;95
2017_04_article.pdf;3;3;2;2;90;90;85;85
2017_05_article.pdf;3;2;2;2;95;85;85;80
2017_06_article.pdf;2;1;1;2;85;80;75;85
2017_07_article.pdf;1;2;1;2;85;85;85;85
2017_08_article.pdf;3;1;3;3;95;85;90;90
2017_09_article.pdf;2;1;1;2;90;85;85;85
2018_01_article.pdf;2;1;2;2;85;80;85;85
2018_02_article.pdf;1;2;2;2;90;85;85;90
2018_03_article.pdf;1;2;1;2;90;90;90;90
2018_04_article.pdf;3;1;1;1;95;85;80;80
2018_05_article.pdf;1;2;1;3;90;90;90;95
2018_06_article.pdf;3;1;1;3;90;70;65;90
2018_07_article.pdf;1;2;1;2;90;85;90;90
2019_01_article.pdf;2;1;1;2;90;90;90;90
2019_02_article.pdf;3;3;3;3;100;100;100;100
2019_03_article.pdf;3;1;2;3;95;85;80;90
2019_05_article.pdf;3;1;1;1;95;90;90;85
2019_06_article.pdf;3;2;1;2;95;85;80;85
2019_07_article.pdf;3;3;1;1;95;90;85;85
2019_08_article.pdf;3;3;3;3;95;95;90;90
2019_09_article.pdf;1;2;2;2;90;85;85;80
2019_11_article.pdf;3;1;1;2;95;90;85;80
2019_12_article.pdf;3;2;1;2;95;85;75;80
2020_01_article.pdf;1;1;1;1;90;95;90;90
2020_02_article.pdf;2;1;2;1;85;80;85;75
2020_03_article.pdf;2;3;2;2;90;95;85;85
2020_04_article.pdf;2;1;1;1;90;90;90;90
2020_05_article.pdf;1;1;2;2;70;70;75;75
2020_06_article.pdf;3;3;3;3;95;95;90;95
2020_07_article.pdf;3;1;1;1;95;90;90;90
2020_09_article.pdf;3;3;2;3;95;95;85;95
2020_10_article.pdf;3;1;2;2;95;70;85;90
2020_11_article.pdf;2;1;1;2;90;85;85;85
2020_12_article.pdf;3;1;1;1;95;85;85;90
2020_13_article.pdf;3;1;1;3;95;80;80;95
2020_14_article.pdf;3;1;2;3;95;80;85;95
2020_15_article.pdf;3;1;2;2;95;85;80;80
2020_16_article.pdf;3;3;2;3;95;90;85;95
2020_17_article.pdf;1;1;2;3;85;80;90;95
2020_18_article.pdf;3;2;2;2;95;85;80;75
2020_19_article.pdf;2;1;1;2;90;90;85;80
2020_20_article.pdf;1;2;3;3;90;85;95;95
2020_21_article.pdf;1;3;3;3;90;95;95;95
2020_22_article.pdf;3;1;1;2;95;90;85;80
2020_23_article.pdf;1;1;1;2;95;95;95;95
2020_24_article.pdf;2;1;2;3;90;90;85;95
2020_25_article.pdf;3;2;3;3;95;80;90;95
2020_26_article.pdf;3;2;2;1;95;90;90;90
2020_27_article.pdf;2;2;1;2;80;85;90;95
2020_28_article.pdf;3;3;3;2;100;100;100;90
2020_29_article.pdf;3;1;1;0;95;90;90;95
2020_30_article.pdf;2;1;1;1;90;90;90;90
2020_31_article.pdf;3;2;3;3;95;85;90;95
2020_32_article.pdf;3;2;2;2;95;80;75;80
2020_33_article.pdf;0;0;1;0;100;100;90;100
2020_34_article.pdf;3;1;1;0;95;95;95;95
2020_36_article.pdf;3;1;1;0;95;95;95;95
2020_37_article.pdf;2;1;1;2;90;85;85;90
2020_38_article.pdf;1;1;3;2;90;85;95;90
