paper_id,file_name,num_pages,num_words
2015_01_article,2015_01_article.pdf,16,15365
2016_01_article,2016_01_article.pdf,34,19392
2016_02_article,2016_02_article.pdf,12,12985
2016_03_article,2016_03_article.pdf,19,18458
2016_04_article,2016_04_article.pdf,11,9890
2016_05_article,2016_05_article.pdf,5,5293
2016_06_article,2016_06_article.pdf,12,6428
2016_07_article,2016_07_article.pdf,21,18408
2017_01_article,2017_01_article.pdf,15,6436
2017_02_article,2017_02_article.pdf,14,12016
2017_03_article,2017_03_article.pdf,5,2279
2017_04_article,2017_04_article.pdf,4,3372
2017_05_article,2017_05_article.pdf,16,15338
2017_06_article,2017_06_article.pdf,7,4723
2017_07_article,2017_07_article.pdf,5,5897
2017_08_article,2017_08_article.pdf,11,9237
2017_09_article,2017_09_article.pdf,1,629
2018_01_article,2018_01_article.pdf,9,8295
2018_02_article,2018_02_article.pdf,17,7238
2018_03_article,2018_03_article.pdf,9,6701
2018_04_article,2018_04_article.pdf,9,8691
2018_05_article,2018_05_article.pdf,22,21018
2018_06_article,2018_06_article.pdf,16,11374
2018_07_article,2018_07_article.pdf,8,7471
2019_01_article,2019_01_article.pdf,12,12360
2019_02_article,2019_02_article.pdf,5,1920
2019_03_article,2019_03_article.pdf,18,13498
2019_05_article,2019_05_article.pdf,15,10008
2019_06_article,2019_06_article.pdf,11,7359
2019_07_article,2019_07_article.pdf,14,7619
2019_08_article,2019_08_article.pdf,19,8291
2019_09_article,2019_09_article.pdf,5,3216
2019_11_article,2019_11_article.pdf,9,8624
2019_12_article,2019_12_article.pdf,13,6043
2020_01_article,2020_01_article.pdf,11,8977
2020_02_article,2020_02_article.pdf,43,20991
2020_03_article,2020_03_article.pdf,11,3225
2020_04_article,2020_04_article.pdf,9,6141
2020_05_article,2020_05_article.pdf,15,14711
2020_06_article,2020_06_article.pdf,11,3944
2020_07_article,2020_07_article.pdf,40,11568
2020_09_article,2020_09_article.pdf,12,6256
2020_10_article,2020_10_article.pdf,13,7556
2020_11_article,2020_11_article.pdf,12,6879
2020_12_article,2020_12_article.pdf,10,5615
2020_13_article,2020_13_article.pdf,11,5917
2020_14_article,2020_14_article.pdf,11,6501
2020_15_article,2020_15_article.pdf,12,6334
2020_16_article,2020_16_article.pdf,14,7568
2020_17_article,2020_17_article.pdf,11,6981
2020_18_article,2020_18_article.pdf,12,6129
2020_19_article,2020_19_article.pdf,11,9564
2020_20_article,2020_20_article.pdf,6,3737
2020_21_article,2020_21_article.pdf,13,9254
2020_22_article,2020_22_article.pdf,17,17486
2020_23_article,2020_23_article.pdf,18,10701
2020_24_article,2020_24_article.pdf,19,9714
2020_25_article,2020_25_article.pdf,4,2984
2020_26_article,2020_26_article.pdf,8,3701
2020_27_article,2020_27_article.pdf,15,14319
2020_28_article,2020_28_article.pdf,8,4238
2020_29_article,2020_29_article.pdf,17,16350
2020_30_article,2020_30_article.pdf,6,5959
2020_31_article,2020_31_article.pdf,5,3635
2020_32_article,2020_32_article.pdf,13,7580
2020_33_article,2020_33_article.pdf,10,8793
2020_34_article,2020_34_article.pdf,8,5331
2020_36_article,2020_36_article.pdf,8,7010
2020_37_article,2020_37_article.pdf,9,7604
2020_38_article,2020_38_article.pdf,8,5415
