paperid,R_sources,R_methods,R_experiments,R_sinks,R_c,R_s,R,r_c1_sources_consumed,r_c2_sinks_produced,r_c3_inputs_resolved,r_c4_source_sink_reachability,r_c5_lwcc,n_sources,n_methods,n_experiments,n_sinks,R_0_4
paper_100,1.000000,0.890000,0.850000,0.100000,0.678000,1.000000,0.823408,1.000000,1.000000,1.000000,1.000000,1.000000,1,5,1,12,3.470223
paper_101,0.928571,0.966667,1.000000,0.850000,0.926905,0.902500,0.914621,1.000000,1.000000,1.000000,0.500000,0.850000,7,3,4,6,3.743863
paper_102,1.000000,0.750000,1.000000,0.847619,0.904286,0.843908,0.873575,1.000000,1.000000,1.000000,0.047619,0.911765,1,6,6,21,3.620725
paper_103,0.805556,0.900000,0.790000,0.875000,0.842167,0.780556,0.810776,0.555556,1.000000,1.000000,0.444444,0.833333,9,4,5,6,3.432328
paper_104,1.000000,0.700000,0.850000,1.000000,0.910000,0.860248,0.884774,0.857143,1.000000,1.000000,0.337662,0.968750,7,3,11,11,3.654322
paper_105,0.375000,0.925000,0.862500,0.905000,0.741500,0.680682,0.710440,0.500000,1.000000,1.000000,0.250000,0.454545,6,2,4,10,3.131321
paper_106,0.343750,0.870000,0.900000,1.000000,0.757125,0.812723,0.784432,0.875000,1.000000,1.000000,0.281250,0.678571,8,5,7,8,3.353295
paper_107,1.000000,0.750000,0.818750,0.855556,0.870417,0.692857,0.776579,0.285714,1.000000,1.000000,0.285714,0.857143,7,2,8,18,3.329736
paper_108,0.833333,0.750000,0.800000,0.900000,0.830000,0.855952,0.842876,0.666667,1.000000,1.000000,0.666667,0.928571,3,1,4,6,3.528629
paper_109,0.625000,0.500000,0.975000,0.883333,0.747500,0.798848,0.772748,0.900000,0.833333,1.000000,0.191667,0.911765,10,2,10,12,3.318243
paper_10,0.500000,0.750000,0.833333,0.925000,0.744167,1.000000,0.862651,1.000000,1.000000,1.000000,1.000000,1.000000,3,1,3,2,3.587953
paper_110,0.888889,0.750000,0.905000,0.885000,0.863167,0.834767,0.848848,0.777778,1.000000,1.000000,0.333333,0.935484,9,2,10,10,3.546544
paper_111,0.083333,0.916667,0.780000,0.746667,0.588333,1.000000,0.767029,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,15,15,3.301087
paper_112,1.000000,0.825000,0.900000,1.000000,0.945000,1.000000,0.972111,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,1,1,3.916333
paper_11,1.000000,0.600000,0.675000,0.950000,0.840000,1.000000,0.916515,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,4,8,3.749545
paper_12,1.000000,0.750000,0.600000,0.875000,0.832500,1.000000,0.912414,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,2,2,3.737243
paper_13,1.000000,0.783333,0.858333,0.878571,0.891905,1.000000,0.944407,1.000000,1.000000,1.000000,1.000000,1.000000,1,3,6,7,3.833221
paper_14,0.750000,0.750000,0.866667,0.738889,0.770000,0.728571,0.748999,0.571429,1.000000,1.000000,0.238095,0.666667,7,2,9,9,3.246998
paper_15,0.333333,0.766667,0.850000,0.925000,0.700833,0.708333,0.704573,0.333333,1.000000,1.000000,0.333333,0.833333,3,3,2,4,3.113720
paper_16,0.500000,0.866667,0.850000,0.821429,0.739762,0.476705,0.593842,0.300000,0.428571,1.000000,0.114286,0.516129,10,3,4,14,2.781526
paper_17,0.625000,0.935714,0.933333,0.940909,0.843582,0.902569,0.872577,1.000000,0.909091,1.000000,0.545455,0.956522,2,7,3,11,3.617732
paper_18,1.000000,0.500000,0.825000,0.912500,0.838750,0.632500,0.728361,0.400000,0.750000,1.000000,0.300000,0.666667,5,1,2,4,3.185082
paper_19,0.500000,0.800000,0.750000,0.750000,0.685000,0.788462,0.734912,0.500000,1.000000,1.000000,0.500000,0.923077,2,2,5,4,3.204737
paper_1,1.000000,0.925000,0.816667,0.900000,0.918333,0.891667,0.904902,1.000000,1.000000,1.000000,0.500000,0.777778,2,2,3,2,3.714705
paper_20,1.000000,0.875000,0.800000,0.950000,0.920000,1.000000,0.959166,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,1,1,3.877499
paper_21,0.875000,0.775000,0.792857,0.900000,0.846071,0.780435,0.812591,0.500000,1.000000,1.000000,0.500000,0.869565,6,2,7,8,3.437772
paper_22,0.750000,0.700000,0.875000,0.900000,0.810000,0.847917,0.828742,0.666667,1.000000,1.000000,0.666667,0.875000,3,2,2,1,3.486225
paper_23,0.437500,0.700000,0.835714,0.950000,0.723393,0.792409,0.757115,0.750000,1.000000,1.000000,0.272727,0.760000,4,3,7,11,3.271345
paper_24,1.000000,0.750000,0.750000,0.900000,0.870000,1.000000,0.932738,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,2,8,3.798214
paper_25,0.125000,0.720000,0.925000,0.912500,0.640250,0.677056,0.658396,0.625000,1.000000,1.000000,0.156250,0.315789,8,5,2,4,2.975187
paper_26,1.000000,0.950000,0.987500,0.900000,0.957500,1.000000,0.978519,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,8,10,3.935558
paper_27,0.666667,0.866667,0.760000,0.857143,0.782476,0.903571,0.840847,1.000000,1.000000,1.000000,0.523810,0.833333,3,3,5,7,3.522540
paper_28,0.090909,0.850000,0.750000,0.950000,0.632273,0.791250,0.707309,0.727273,1.000000,1.000000,0.329545,0.733333,11,5,6,8,3.121927
paper_29,0.916667,0.750000,0.868750,0.838889,0.850417,0.720000,0.782496,0.583333,1.000000,1.000000,0.194444,0.633333,12,1,8,9,3.347488
paper_2,0.666667,0.500000,0.481250,0.950000,0.681250,0.716667,0.698734,0.333333,1.000000,1.000000,0.333333,0.888889,3,1,8,6,3.096202
paper_30,0.562500,1.000000,0.972222,0.950000,0.848194,0.757188,0.801400,0.500000,1.000000,1.000000,0.281250,0.933333,4,1,9,16,3.404201
paper_31,0.500000,0.800000,0.783333,0.731818,0.686212,0.815097,0.747883,0.857143,0.818182,1.000000,0.415584,0.892857,7,4,6,11,3.243650
paper_32,0.250000,0.000000,1.000000,0.920000,0.551000,0.750227,0.642943,0.500000,1.000000,1.000000,0.350000,0.818182,4,1,1,5,2.928828
paper_33,0.875000,0.983333,0.844444,0.838235,0.879526,0.837848,0.858434,0.750000,1.000000,1.000000,0.389706,0.945946,8,3,9,17,3.575302
paper_34,1.000000,0.775000,0.860000,0.950000,0.912000,0.857292,0.884223,0.666667,1.000000,1.000000,0.666667,0.937500,3,2,5,6,3.652668
paper_35,0.333333,0.800000,0.656250,0.900000,0.661250,1.000000,0.813173,1.000000,1.000000,1.000000,1.000000,1.000000,3,1,8,11,3.439518
paper_36,0.250000,0.583333,0.650000,0.850000,0.576667,0.810882,0.683819,0.750000,1.000000,1.000000,0.450000,0.705882,4,6,2,5,3.051458
paper_37,0.500000,0.813636,0.858333,0.871429,0.745823,0.725694,0.735690,0.444444,1.000000,1.000000,0.222222,0.875000,9,11,6,14,3.207069
paper_38,0.166667,0.800000,0.900000,0.950000,0.675000,0.855952,0.760110,0.833333,1.000000,1.000000,0.388889,0.928571,6,2,3,3,3.280331
paper_39,0.795455,0.600000,0.737500,0.950000,0.791136,0.862825,0.826203,0.909091,1.000000,1.000000,0.272727,0.964286,11,1,8,8,3.478610
paper_3,0.392857,0.825000,0.988889,0.871429,0.742063,0.863986,0.800707,0.857143,1.000000,1.000000,0.448980,0.882353,7,4,9,14,3.402122
paper_40,1.000000,0.600000,0.850000,0.950000,0.875000,1.000000,0.935414,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,6,13,3.806243
paper_41,0.454545,1.000000,1.000000,0.888462,0.802902,0.936014,0.866907,0.909091,1.000000,1.000000,0.755245,0.969697,11,3,6,13,3.600721
paper_42,1.000000,0.625000,0.670000,0.746875,0.783062,0.964844,0.869214,1.000000,1.000000,1.000000,0.765625,1.000000,4,2,5,16,3.607642
paper_43,0.312500,0.750000,0.761111,0.950000,0.680972,0.611250,0.645170,0.250000,0.800000,1.000000,0.200000,0.791667,4,1,9,10,2.935510
paper_44,0.375000,0.850000,0.900000,0.921429,0.738929,0.828571,0.782467,0.750000,1.000000,1.000000,0.321429,0.952381,4,3,7,7,3.347402
paper_45,0.250000,0.933333,1.000000,0.816667,0.706667,0.757500,0.731642,0.500000,1.000000,1.000000,0.283333,0.933333,4,3,8,15,3.194926
paper_46,1.000000,0.825000,0.830000,0.850000,0.886000,0.790625,0.836955,0.500000,1.000000,1.000000,0.500000,0.937500,2,2,5,7,3.510865
paper_47,0.650000,0.866667,0.950000,0.857143,0.815476,0.801905,0.808662,0.600000,1.000000,1.000000,0.457143,0.888889,5,3,3,7,3.425986
paper_48,1.000000,0.625000,0.833333,0.850000,0.846667,1.000000,0.920145,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,3,3,3.760435
paper_49,1.000000,0.616667,0.675000,0.766667,0.788333,1.000000,0.887881,1.000000,1.000000,1.000000,1.000000,1.000000,1,3,2,3,3.663644
paper_4,1.000000,0.875000,0.783333,0.833333,0.881667,0.950000,0.915196,1.000000,1.000000,1.000000,0.666667,1.000000,3,2,3,3,3.745587
paper_50,0.625000,0.400000,0.321429,0.950000,0.616786,1.000000,0.785357,1.000000,1.000000,1.000000,1.000000,1.000000,4,2,7,4,3.356071
paper_51,0.750000,0.800000,0.825000,0.881250,0.814375,0.661667,0.734060,0.666667,0.750000,1.000000,0.250000,0.466667,3,2,2,8,3.202181
paper_52,0.500000,0.900000,0.800000,0.880000,0.754000,0.796000,0.774715,0.600000,1.000000,1.000000,0.440000,0.866667,5,1,4,5,3.324146
paper_53,0.916667,0.700000,0.850000,0.890000,0.852000,0.802879,0.827075,0.666667,1.000000,1.000000,0.377778,0.863636,9,3,5,5,3.481224
paper_54,1.000000,0.716667,0.850000,1.000000,0.913333,0.850877,0.881552,0.666667,1.000000,1.000000,0.666667,0.894737,6,3,5,5,3.644657
paper_55,1.000000,0.816667,1.000000,0.900000,0.933333,0.760863,0.842697,0.625000,0.916667,1.000000,0.312500,0.857143,8,3,5,12,3.528092
paper_56,0.833333,0.783333,1.000000,1.000000,0.906667,0.826154,0.865475,0.777778,1.000000,1.000000,0.282828,0.928571,9,3,5,11,3.596424
paper_57,0.504167,0.500000,0.500000,0.950000,0.636250,0.548333,0.590658,0.333333,0.800000,1.000000,0.100000,0.333333,12,2,5,5,2.771975
paper_58,0.750000,0.825000,0.625000,0.925000,0.792500,0.844318,0.817999,1.000000,1.000000,1.000000,0.416667,0.545455,3,2,2,4,3.453997
paper_59,0.892857,0.766667,0.985714,0.950000,0.903333,0.823071,0.862269,0.714286,0.875000,1.000000,0.625000,0.880000,7,3,7,8,3.586807
paper_5,0.750000,0.683333,0.850000,0.900000,0.801667,0.899573,0.849210,0.777778,1.000000,1.000000,0.777778,0.923077,9,3,3,11,3.547630
paper_60,0.833333,0.800000,0.733333,0.933333,0.836667,0.777193,0.806382,0.666667,1.000000,1.000000,0.333333,0.736842,6,1,6,6,3.419145
paper_61,0.812500,0.600000,0.808333,0.800000,0.765417,0.684483,0.723819,0.250000,1.000000,1.000000,0.250000,0.896552,4,1,12,12,3.171458
paper_62,0.750000,1.000000,0.970000,0.950000,0.904000,0.969849,0.936346,1.000000,1.000000,1.000000,0.896552,0.902439,1,6,5,29,3.809037
paper_63,1.000000,0.600000,0.600000,0.950000,0.825000,0.945000,0.882964,0.875000,1.000000,1.000000,0.875000,0.966667,8,1,9,12,3.648891
paper_64,0.625000,0.800000,0.935714,0.950000,0.819643,0.856818,0.838024,1.000000,1.000000,1.000000,0.500000,0.545455,2,2,7,11,3.514073
paper_65,0.527778,0.750000,0.825000,0.745000,0.696833,0.985000,0.828481,1.000000,1.000000,1.000000,0.900000,1.000000,9,1,6,10,3.485443
paper_66,0.291667,1.000000,0.891667,0.900000,0.735833,0.663333,0.698644,0.333333,1.000000,1.000000,0.166667,0.700000,6,2,6,6,3.095931
paper_67,1.000000,0.775000,0.875000,0.900000,0.900000,0.825000,0.861684,0.600000,1.000000,1.000000,0.600000,0.900000,5,2,4,9,3.585053
paper_68,1.000000,1.000000,0.978571,0.892857,0.963571,1.000000,0.981617,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,7,7,3.944850
paper_69,0.500000,0.500000,0.630000,0.928571,0.654571,0.935714,0.782619,1.000000,1.000000,1.000000,0.571429,1.000000,2,1,5,7,3.347856
paper_6,1.000000,0.775000,0.875000,0.913636,0.904091,0.931818,0.917850,1.000000,1.000000,1.000000,0.545455,1.000000,3,2,2,11,3.753550
paper_70,1.000000,0.850000,0.762500,0.895000,0.891000,0.752500,0.818827,0.500000,0.900000,1.000000,0.450000,0.900000,2,4,4,10,3.456481
paper_71,1.000000,0.800000,0.850000,1.000000,0.930000,0.783333,0.853522,0.500000,1.000000,1.000000,0.500000,0.888889,2,3,2,2,3.560566
paper_72,0.375000,0.783333,0.850000,0.813636,0.683258,0.844968,0.759823,0.750000,1.000000,1.000000,0.454545,0.928571,8,3,6,11,3.279468
paper_73,1.000000,0.950000,0.975000,0.800000,0.925000,1.000000,0.961769,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,8,8,3.885308
paper_74,0.678571,0.500000,0.787500,0.950000,0.746071,0.704464,0.724969,0.571429,1.000000,1.000000,0.160714,0.583333,7,1,8,8,3.174908
paper_75,0.471429,0.783333,0.941667,0.750000,0.711429,0.886039,0.793948,0.857143,1.000000,1.000000,0.523810,0.954545,7,3,6,6,3.381844
paper_76,0.531250,0.500000,0.500000,0.822222,0.606042,0.908333,0.741949,1.000000,1.000000,1.000000,0.388889,1.000000,8,2,9,9,3.225846
paper_77,0.611111,0.750000,0.966667,0.850000,0.781667,0.902288,0.839814,0.777778,1.000000,1.000000,0.777778,0.941176,9,1,12,12,3.519443
paper_78,1.000000,0.600000,0.750000,0.950000,0.855000,0.901218,0.877805,0.857143,1.000000,1.000000,0.625000,0.954545,7,1,6,8,3.633414
paper_79,0.250000,0.800000,0.839286,0.792857,0.640714,0.816639,0.723348,0.800000,1.000000,1.000000,0.228571,0.882353,5,1,14,14,3.170043
paper_7,1.000000,0.775000,0.916667,0.900000,0.908333,0.849020,0.878176,0.666667,1.000000,1.000000,0.666667,0.882353,6,2,3,6,3.634528
paper_80,1.000000,0.866667,1.000000,0.950000,0.958333,0.675000,0.804285,0.500000,1.000000,1.000000,0.166667,0.500000,2,3,7,6,3.412856
paper_81,0.437500,0.325000,0.300000,0.900000,0.526250,0.780714,0.640977,0.687500,1.000000,1.000000,0.237500,0.821429,16,2,5,5,2.922930
paper_82,0.446429,0.712500,0.933333,0.828571,0.711667,0.762541,0.736665,0.642857,1.000000,1.000000,0.173469,0.838710,14,4,6,7,3.209995
paper_83,0.727273,0.875000,0.833333,0.950000,0.844848,0.773885,0.808589,0.545455,1.000000,1.000000,0.467532,0.782609,11,2,3,7,3.425766
paper_84,0.464286,0.800000,0.812500,0.825000,0.709286,0.878571,0.789404,0.857143,1.000000,1.000000,0.571429,0.857143,7,5,4,12,3.368211
paper_85,0.375000,,0.775000,0.885714,0.666518,0.856136,0.755400,0.833333,1.000000,1.000000,0.357143,0.961538,6,0,6,14,3.266201
paper_86,0.406250,0.850000,1.000000,1.000000,0.791875,0.911250,0.849468,0.875000,1.000000,1.000000,0.650000,0.966667,8,5,7,10,3.548404
paper_87,0.288462,0.875000,0.800000,0.950000,0.706538,0.874938,0.786243,0.923077,0.875000,1.000000,0.567308,0.935484,13,6,4,8,3.358728
paper_88,0.450000,0.862500,0.870000,0.820000,0.727500,0.882105,0.801082,0.800000,1.000000,1.000000,0.600000,0.947368,5,4,5,5,3.403245
paper_89,0.535714,0.825000,0.900000,0.800000,0.745714,0.738095,0.741895,0.428571,1.000000,1.000000,0.428571,0.777778,7,2,5,4,3.225685
paper_8,0.666667,0.750000,0.972222,0.804167,0.785694,0.919500,0.849968,1.000000,1.000000,1.000000,0.583333,0.880000,3,1,9,12,3.549905
paper_90,0.833333,0.500000,0.500000,0.950000,0.735000,0.768417,0.751523,0.666667,0.857143,1.000000,0.396825,0.852941,9,1,10,14,3.254569
paper_91,1.000000,0.725000,0.750000,0.850000,0.850000,1.000000,0.921954,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,3,1,3.765863
paper_92,0.750000,0.500000,0.795000,0.900000,0.754000,0.640805,0.695102,0.166667,1.000000,1.000000,0.166667,0.827586,6,1,10,12,3.085306
paper_93,0.428571,0.775000,0.875000,0.631250,0.647946,0.781134,0.711430,0.714286,1.000000,1.000000,0.321429,0.695652,7,2,6,8,3.134290
